ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"56","Midland County Educational Service Agency","56903","Academic and Career Education Academy","56","Midland","PSA District","High School","Rural: Fringe","2020","961490.93","949138.47","263676.46","0.00","94.79",,"93.00","4.71","1","4.91","3","1.28","3",,,"68.94","2.00","27.42","1","27.79","2","1.01","3","-13.97","4",,
"82","Wayne RESA","82921","Academy for Business and Technology","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2020","5721202.93","5660388.12","443072.38","0.00","555.72",,"559.00","1.67","3","15.91","2","1.06","3","1.71","1","3.17","4.00","7.74","4","8.23","4","1.01","3","7.62","1",,
"50","Macomb ISD","50040","Anchor Bay School District","74","St. Clair","LEA District","Elem thru High School","Suburb: Large","2020","58980121.81","61955537.53","1816761.60","0.00","5837.56","552.59","570.98","1.18","4","-62.09","4","-5.04","4","40.57","4","15.71","4.00","3.08","4","2.96","4","0.95","4","-2.37","3","4.52","3"
"81","Washtenaw ISD","81904","Ann Arbor Learning Community","81","Washtenaw","PSA District","Elem thru High School","Suburb: Large","2020","2631486.14","2742143.27","-60148.11","1.00","316.08",,"321.00","0.89","4","-219.08","4","-4.21","4",,,"5.19","4.00","-2.29","4","-2.2","4","0.96","4","52.74","1",,
"81","Washtenaw ISD","81010","Ann Arbor Public Schools","81","Washtenaw","LEA District","Elem thru High School","City: Midsize","2020","261873953.46","259688137.88","19728659.41","0.00","17902.53","1548.36","2162.91","1.64","3","12.46","2","1.09","3","23.12","4","35.65","4.00","7.53","4","7.67","4","1.01","3","-0.33","2","1.08","2"
"13","Calhoun Intermediate School District","13901","Arbor Academy","13","Calhoun","PSA District","Elem_Middle School","City: Small","2020","1934730.33","1934730.33","0.00",,"204.40",,"205.00","1","4",,,"0.17","3",,,"2.98","4.00",,,,,"1","3","-4.93","4",,
"50","Macomb ISD","50050","Armada Area Schools","50","Macomb","LEA District","Elem thru High School","Rural: Distant","2020","17729992.47","18003346.99","1311205.70","0.00","1783.80","109.06","517.68","1.59","3","-17.25","4","-1.52","4","28.12","4","21.19","4.00","7.4","4","7.48","4","0.98","4","1.36","2","-17.91","1"
"50","Macomb ISD","50905","Arts Academy in the Woods","50","Macomb","PSA District","Middle_High School","Suburb: Large","2020","3178352.45","3338553.80","159711.67","0.00","319.62",,"319.43","1.25","4","-50.08","4","1.46","3","6.02","1","21.17","4.00","5.02","4","5.15","4","0.95","4","1.52","2","5.72","4"
"63","Oakland Schools","63915","Arts and Technology Academy of Pontiac","63","Oakland","PSA District","Elem thru High School","City: Small","2020","8198151.00","8146393.00","1127730.00","0.00","806.23",,"814.00","2.23","2","4.81","3","12.56","1","12.19","3","26.35","4.00","13.76","3","16.84","3","1.01","3","-3.15","3",,
"31","Copper Country ISD","07010","Arvon Township School District","07","Baraga","LEA District","Elem_Middle School","Rural: Remote","2020","335524.00","402631.00","557338.00","0.00","13.00","15.00","4.00","49.9","1","-10.75","4","-17.8","4",,,"506.30","1.00","166.11","1","160.84","1","0.83","4","30","1","-14.65","1"
"29","Gratiot-Isabella RESD","29020","Ashley Community Schools","29","Gratiot","LEA District","Elem thru High School","Rural: Distant","2020","2740060.35","2659920.19","473963.04","0.00","249.33","72.35","74.00","1.95","3","20.35","2","2.92","2","17.74","4","72.94","2.00","17.3","2","18","3","1.03","2","-3.72","4","-2.47","1"
"13","Calhoun Intermediate School District","13050","Athens Area Schools","13","Calhoun","LEA District","Elem thru High School","Rural: Distant","2020","5574517.64","5332194.81","1316532.06","0.00","520.24","249.50","77.51","2.95","2","22.56","2","4.36","2","2.41","1","80.00","2.00","23.62","2","25.09","2","1.05","1","-4.29","4","0.72","2"
"25","Genesee ISD","25130","Atherton Community Schools","25","Genesee","LEA District","Elem thru High School","Suburb: Large","2020","8935993.98","8781991.77","1470693.66","0.00","826.75","446.54","344.00","2.24","2","11.7","2","1.72","3","6.86","2","48.49","3.00","16.46","3","16.76","3","1.02","2","-3.07","3","0.83","2"
"04","Alpena-Montmorency-Alcona ESD","60010","Atlanta Community Schools","60","Montmorency","LEA District","Elem thru High School","Rural: Remote","2020","2813828.10","2735612.47","322356.88","0.00","251.56","101.33","3.00","2.63","2","32.04","1","2.78","2","16.48","3","52.68","3.00","11.46","3","11.97","3","1.03","2","5.5","1","-1.02","2"
"09","Bay-Arenac ISD","06020","Au Gres-Sims School District","06","Arenac","LEA District","Elem thru High School","Rural: Remote","2020","4229391.27","4062272.53","1450056.98","0.00","391.74","64.84","80.00","1.42","4","13.03","2","3.95","2","10.13","2","156.41","1.00","34.29","1","35.9","1","1.04","1","-3.16","3","1.65","2"
"50","Macomb ISD","50911","Academy of Warren","50","Macomb","PSA District","Elem_Middle School","City: Midsize","2020","6949191.00","6648726.00","1843575.00","0.00","694.62",,"701.00","4","1","19.47","2","13.27","1","9.33","2","46.51","3.00","26.53","1","31.16","1","1.05","1","3.78","1",,
"82","Wayne RESA","82998","ACE Academy (SDA)","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2020","1881786.79","2288940.71","1025024.66","0.00","157.76",,"152.00","8.37","1","-28.43","4","-21.64","4",,,"66.74","2.00","54.47","1","45.51","1","0.82","4","-18.12","4",,
"82","Wayne RESA","82717","Achieve Charter Academy","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","2020","6718990.00","6705993.00","27081.00","0.00","790.95",,"791.00","1.03","4","92.28","1","0.2","3",,,"1.45","4.00","0.4","4","0.4","4","1","3","3.57","1",,
"31","Copper Country ISD","31020","Adams Township School District","31","Houghton","LEA District","Elem thru High School","Rural: Distant","2020","4787979.77","4738029.85","374722.40","0.00","488.07","147.52","143.00","1.39","4","15.38","2","1.46","3","13","3","46.10","3.00","7.83","4","8.1","4","1.01","3","2.19","1","-10.15","1"
"46","Lenawee ISD","46020","Addison Community Schools","46","Lenawee","LEA District","Elem thru High School","Rural: Distant","2020","10487472.68","10732437.62","490334.30","0.00","799.94","401.03","162.00","1.44","4","-33.31","4","-2.34","4","39.9","4","22.37","4.00","4.68","4","5.67","4","0.98","4","-3.9","4","-6","1"
"46","Lenawee ISD","46010","Adrian Public Schools","46","Lenawee","LEA District","Elem thru High School","Town: Distant","2020","34941634.85","33899192.78","5804566.56","0.00","2865.35","1815.08","361.16","2.81","2","21.89","2","3.56","2","11.92","3","39.13","3.00","16.61","3","17.44","3","1.03","2","1.19","2","0.72","2"
