SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","","Statewide","","All Districts","","All Buildings","","","State","","","","","1437612","738683","698929","8570","50740","254724","121324","1232","933993","67029","14196","106539","101222","100705","100684","102060","101621","104129","107578","112092","119120","116106","113210","113389","731608","193628","90508"
"20 - 21 School Year","03","Allegan Area Educational Service Agency","","All Districts","","All Buildings","03","Allegan","ISD","Elem thru High School","Town: Distant","Greater West Michigan Region","         8","13773","7076","6697","55","99","187","1379","9","11560","484","123","1160","983","908","973","943","994","1051","1058","1124","1190","1117","1122","1088","6000","1490","456"
"20 - 21 School Year","04","Alpena-Montmorency-Alcona ESD","","All Districts","","All Buildings","04","Alpena","ISD","Elem thru High School","Rural: Fringe","NEMi Region (Northeast Michigan) Region","        12","4890","2517","2373","22","19","31","95","2","4550","171","217","383","348","341","325","332","342","379","378","381","477","402","378","414","2897","579","<10"
"20 - 21 School Year","08","Barry ISD","","All Districts","","All Buildings","08","Barry","ISD","Elem thru High School","Town: Distant","Southwest Region","         1","3706","1837","1869","19","6","20","134","4","3448","75","12","337","261","259","260","247","262","266","286","295","285","299","289","350","1847","558","30"
"20 - 21 School Year","09","Bay-Arenac ISD","","All Districts","","All Buildings","09","Bay","ISD","Elem thru High School","Suburb: Small","East Central Michigan Region","        10","15059","7777","7282","71","70","393","1168","3","12605","749","92","1088","985","973","972","1031","1042","1152","1146","1297","1462","1312","1291","1244","8080","2099","110"
"20 - 21 School Year","11","Berrien RESA","","All Districts","","All Buildings","11","Berrien","ISD","Elem thru High School","Town: Fringe","Southwest Region","         1","24402","12392","12010","132","408","4499","2650","39","15284","1390","186","1797","1603","1636","1587","1597","1638","1688","1681","1853","2522","2375","2228","2087","14289","2920","1302"
"20 - 21 School Year","12","Branch ISD","","All Districts","","All Buildings","12","Branch","ISD","Elem thru High School","Town: Distant","Southwest Region","         1","5629","2898","2731","13","41","33","614","1","4807","120","158","432","400","383","375","398","436","429","438","471","452","474","439","477","3374","750","810"
"20 - 21 School Year","72","C.O.O.R. ISD","","All Districts","","All Buildings","72","Roscommon","ISD","Elem thru High School","Rural: Distant","NEMi Region (Northeast Michigan) Region","        12","7220","3814","3406","44","30","40","164","7","6787","148","56","545","501","491","559","501","514","549","565","555","661","608","630","508","4856","1028","<10"
"20 - 21 School Year","13","Calhoun Intermediate School District","","All Districts","","All Buildings","13","Calhoun","ISD","Elem thru High School","Suburb: Small","Southwest Region","         1","21714","11243","10471","90","667","2929","1713","33","14418","1864","134","1679","1649","1579","1583","1524","1571","1619","1683","1835","1765","1873","1711","1568","12206","3534","739"
"20 - 21 School Year","15","Charlevoix-Emmet ISD","","All Districts","","All Buildings","15","Charlevoix","ISD","Elem thru High School","Town: Remote","Northwestern Lower Michigan Region","        13","8230","4262","3968","212","57","48","192","6","7251","464","101","557","571","525","551","614","582","593","619","696","708","697","709","784","3720","1137","19"
