,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,american_indian_enrollment,asian_enrollment,english_language_learners_enrollment,early_middle_college_enrollment,admin_ineffective_percentage,admin_min_effective_percentage,teacher_min_effective_percentage,fundbalanceas%ofexpenditure,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
0,11010,2015-2016,Benton Harbor Area Schools,5.0,82.44,6,1,82,0,0.0,0.0,40.54,-45.53,29932,11958,16234,37,114,20,676,31164,1949,1503,1595,5295,1502,824,36.2,34.3,38.7,4886,7473
1,11010,2016-2017,Benton Harbor Area Schools,2.5,88.95,1,1,57,0,9.09,9.09,9.52,-21.41,29932,11958,16234,37,114,20,676,31164,1949,1503,1595,5295,1502,824,36.2,34.3,38.7,4886,7473
2,11010,2017-2018,Benton Harbor Area Schools,2.5,82.87,3,1,68,0,9.09,45.45,5.49,-17.31,29932,11958,16234,37,114,20,676,31164,1949,1503,1595,5295,1502,824,36.2,34.3,38.7,4886,7473
3,11010,2018-2019,Benton Harbor Area Schools,2.5,84.71,2,1,57,5,0.0,0.0,9.64,-15.36,29932,11958,16234,37,114,20,676,31164,1949,1503,1595,5295,1502,824,36.2,34.3,38.7,4886,7473
4,11010,2020-2021,Benton Harbor Area Schools,2.5,77.02,2,2,14,2,7.14,7.14,3.19,14.8,29932,11958,16234,37,114,20,676,31164,1949,1503,1595,5295,1502,824,36.2,34.3,38.7,4886,7473
5,11020,2015-2016,St. Joseph Public Schools,50.0,96.45,14,150,56,0,0.0,0.0,0.0,10.09,19288,17020,418,132,1124,2,166,69478,711,668,901,2384,4059,2366,44.7,41.7,47.6,297,5270
6,11020,2016-2017,St. Joseph Public Schools,52.8,96.42,14,172,97,0,0.0,0.0,0.62,13.82,19288,17020,418,132,1124,2,166,69478,711,668,901,2384,4059,2366,44.7,41.7,47.6,297,5270
7,11020,2017-2018,St. Joseph Public Schools,57.0,95.99,12,176,96,0,0.0,0.0,0.61,14.87,19288,17020,418,132,1124,2,166,69478,711,668,901,2384,4059,2366,44.7,41.7,47.6,297,5270
8,11020,2018-2019,St. Joseph Public Schools,73.7,95.85,13,169,97,38,0.0,0.0,0.6,16.48,19288,17020,418,132,1124,2,166,69478,711,668,901,2384,4059,2366,44.7,41.7,47.6,297,5270
9,11020,2020-2021,St. Joseph Public Schools,56.2,93.74,9,151,91,39,0.0,8.33,0.0,22.09,19288,17020,418,132,1124,2,166,69478,711,668,901,2384,4059,2366,44.7,41.7,47.6,297,5270
