,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
0,11010,2015-2016,Benton Harbor Area Schools,5.0,82,82.44,82,0.0,40.54,31164,1502,824,-45.53,4886
1,11010,2016-2017,Benton Harbor Area Schools,2.5,57,88.95,57,9.09,9.52,31164,1502,824,-21.41,4886
2,11010,2017-2018,Benton Harbor Area Schools,2.5,68,82.87,68,45.45,5.49,31164,1502,824,-17.31,4886
3,11010,2018-2019,Benton Harbor Area Schools,2.5,57,84.71,57,0.0,9.64,31164,1502,824,-15.36,4886
4,11010,2020-2021,Benton Harbor Area Schools,2.5,14,77.02,14,7.14,3.19,31164,1502,824,14.8,4886
5,11020,2015-2016,St. Joseph Public Schools,50.0,56,96.45,56,0.0,0.0,69478,4059,2366,10.09,297
6,11020,2016-2017,St. Joseph Public Schools,52.8,97,96.42,97,0.0,0.62,69478,4059,2366,13.82,297
7,11020,2017-2018,St. Joseph Public Schools,57.0,96,95.99,96,0.0,0.61,69478,4059,2366,14.87,297
8,11020,2018-2019,St. Joseph Public Schools,73.7,97,95.85,97,0.0,0.6,69478,4059,2366,16.48,297
9,11020,2020-2021,St. Joseph Public Schools,56.2,91,93.74,91,8.33,0.0,69478,4059,2366,22.09,297
10,11033,2015-2016,River Valley School District,16.3,16,95.18,16,0.0,4.26,54369,1125,353,34.25,165
11,11033,2016-2017,River Valley School District,11.1,23,94.89,23,0.0,2.08,54369,1125,353,41.26,165
12,11033,2017-2018,River Valley School District,16.3,20,94.48,20,0.0,1.96,54369,1125,353,39.93,165
13,11033,2018-2019,River Valley School District,38.5,23,94.74,23,0.0,0.0,54369,1125,353,31.68,165
14,11033,2020-2021,River Valley School District,17.1,29,90.31,29,0.0,2.0,54369,1125,353,37.29,165
15,11210,2015-2016,Brandywine Community Schools,32.1,48,93.92,48,0.0,0.0,50655,762,234,31.46,401
16,11210,2016-2017,Brandywine Community Schools,14.9,53,94.26,53,0.0,1.96,50655,762,234,33.63,401
17,11210,2017-2018,Brandywine Community Schools,24.2,46,93.54,46,0.0,2.88,50655,762,234,20.92,401
18,11210,2018-2019,Brandywine Community Schools,44.6,37,93.63,37,0.0,3.96,50655,762,234,23.62,401
19,11210,2020-2021,Brandywine Community Schools,27.3,41,89.56,41,0.0,0.0,50655,762,234,29.48,401
20,11240,2015-2016,Berrien Springs Public Schools,44.0,278,96.66,278,0.0,0.0,48036,1918,1311,38.45,665
21,11240,2016-2017,Berrien Springs Public Schools,27.4,331,97.06,331,0.0,1.21,48036,1918,1311,36.61,665
22,11240,2017-2018,Berrien Springs Public Schools,29.6,364,90.85,364,0.0,0.96,48036,1918,1311,26.23,665
23,11240,2018-2019,Berrien Springs Public Schools,32.9,332,92.48,332,6.25,1.58,48036,1918,1311,34.5,665
24,11240,2020-2021,Berrien Springs Public Schools,24.3,308,96.02,308,0.0,0.0,48036,1918,1311,43.87,665
25,11250,2015-2016,Eau Claire Public Schools,5.0,151,94.73,151,0.0,0.0,57643,330,196,22.99,362
26,11250,2016-2017,Eau Claire Public Schools,5.0,157,94.27,157,0.0,0.0,57643,330,196,14.27,362
27,11250,2017-2018,Eau Claire Public Schools,5.0,181,91.16,181,0.0,8.97,57643,330,196,1.86,362
28,11250,2018-2019,Eau Claire Public Schools,12.1,180,92.90,180,0.0,0.0,57643,330,196,2.73,362
29,11250,2020-2021,Eau Claire Public Schools,15.7,115,90.11,115,0.0,0.0,57643,330,196,14.41,362
30,11320,2015-2016,Watervliet School District,29.1,123,93.69,123,0.0,0.0,42688,497,146,15.87,542
31,11320,2016-2017,Watervliet School District,29.7,112,93.40,112,0.0,1.08,42688,497,146,15.08,542
32,11320,2017-2018,Watervliet School District,23.0,113,90.31,113,0.0,0.0,42688,497,146,14.81,542
33,11320,2018-2019,Watervliet School District,33.3,132,90.37,132,0.0,0.81,42688,497,146,19.61,542
34,11320,2020-2021,Watervliet School District,41.0,130,97.41,130,0.0,2.2,42688,497,146,22.33,542
35,11340,2015-2016,Bridgman Public Schools,61.1,14,96.27,14,0.0,0.0,73333,804,367,16.19,87
36,11340,2016-2017,Bridgman Public Schools,53.3,13,96.13,13,0.0,1.41,73333,804,367,16.77,87
