,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
0,11010,2015-2016,Benton Harbor Area Schools,5.0,82.44,40.54,31164,-45.53,4886
1,11010,2016-2017,Benton Harbor Area Schools,2.5,88.95,9.52,31164,-21.41,4886
2,11010,2017-2018,Benton Harbor Area Schools,2.5,82.87,5.49,31164,-17.31,4886
3,11010,2018-2019,Benton Harbor Area Schools,2.5,84.71,9.64,31164,-15.36,4886
4,11010,2020-2021,Benton Harbor Area Schools,2.5,77.02,3.19,31164,14.8,4886
5,11020,2015-2016,St. Joseph Public Schools,50.0,96.45,0.0,69478,10.09,297
6,11020,2016-2017,St. Joseph Public Schools,52.8,96.42,0.62,69478,13.82,297
7,11020,2017-2018,St. Joseph Public Schools,57.0,95.99,0.61,69478,14.87,297
8,11020,2018-2019,St. Joseph Public Schools,73.7,95.85,0.6,69478,16.48,297
9,11020,2020-2021,St. Joseph Public Schools,56.2,93.74,0.0,69478,22.09,297
10,11033,2015-2016,River Valley School District,16.3,95.18,4.26,54369,34.25,165
11,11033,2016-2017,River Valley School District,11.1,94.89,2.08,54369,41.26,165
12,11033,2017-2018,River Valley School District,16.3,94.48,1.96,54369,39.93,165
13,11033,2018-2019,River Valley School District,38.5,94.74,0.0,54369,31.68,165
14,11033,2020-2021,River Valley School District,17.1,90.31,2.0,54369,37.29,165
15,11210,2015-2016,Brandywine Community Schools,32.1,93.92,0.0,50655,31.46,401
16,11210,2016-2017,Brandywine Community Schools,14.9,94.26,1.96,50655,33.63,401
17,11210,2017-2018,Brandywine Community Schools,24.2,93.54,2.88,50655,20.92,401
18,11210,2018-2019,Brandywine Community Schools,44.6,93.63,3.96,50655,23.62,401
19,11210,2020-2021,Brandywine Community Schools,27.3,89.56,0.0,50655,29.48,401
20,11240,2015-2016,Berrien Springs Public Schools,44.0,96.66,0.0,48036,38.45,665
21,11240,2016-2017,Berrien Springs Public Schools,27.4,97.06,1.21,48036,36.61,665
22,11240,2017-2018,Berrien Springs Public Schools,29.6,90.85,0.96,48036,26.23,665
23,11240,2018-2019,Berrien Springs Public Schools,32.9,92.48,1.58,48036,34.5,665
24,11240,2020-2021,Berrien Springs Public Schools,24.3,96.02,0.0,48036,43.87,665
25,11250,2015-2016,Eau Claire Public Schools,5.0,94.73,0.0,57643,22.99,362
26,11250,2016-2017,Eau Claire Public Schools,5.0,94.27,0.0,57643,14.27,362
27,11250,2017-2018,Eau Claire Public Schools,5.0,91.16,8.97,57643,1.86,362
28,11250,2018-2019,Eau Claire Public Schools,12.1,92.90,0.0,57643,2.73,362
29,11250,2020-2021,Eau Claire Public Schools,15.7,90.11,0.0,57643,14.41,362
30,11320,2015-2016,Watervliet School District,29.1,93.69,0.0,42688,15.87,542
31,11320,2016-2017,Watervliet School District,29.7,93.40,1.08,42688,15.08,542
32,11320,2017-2018,Watervliet School District,23.0,90.31,0.0,42688,14.81,542
33,11320,2018-2019,Watervliet School District,33.3,90.37,0.81,42688,19.61,542
34,11320,2020-2021,Watervliet School District,41.0,97.41,2.2,42688,22.33,542
35,11340,2015-2016,Bridgman Public Schools,61.1,96.27,0.0,73333,16.19,87
36,11340,2016-2017,Bridgman Public Schools,53.3,96.13,1.41,73333,16.77,87
37,11340,2017-2018,Bridgman Public Schools,51.9,95.95,0.0,73333,16.86,87
38,11340,2018-2019,Bridgman Public Schools,61.1,96.22,0.0,73333,19.44,87
39,11340,2020-2021,Bridgman Public Schools,55.3,93.63,0.0,73333,25.12,87
40,12010,2015-2016,Coldwater Community Schools,27.5,95.02,1.8,49375,20.77,819
41,12010,2016-2017,Coldwater Community Schools,28.6,95.20,0.0,49375,24.9,819
42,12010,2017-2018,Coldwater Community Schools,25.8,94.35,0.61,49375,23.34,819
43,12010,2018-2019,Coldwater Community Schools,44.6,93.85,0.0,49375,24.43,819
44,12010,2020-2021,Coldwater Community Schools,24.2,95.15,0.0,49375,26.21,819
45,13020,2015-2016,Battle Creek Public Schools,2.5,92.77,5.92,33744,8.89,4693
46,13020,2016-2017,Battle Creek Public Schools,4.5,91.16,7.51,33744,10.73,4693
47,13020,2017-2018,Battle Creek Public Schools,6.4,88.60,3.81,33744,13.48,4693
48,13020,2018-2019,Battle Creek Public Schools,6.45,89.68,1.82,33744,19.77,4693
49,13020,2020-2021,Battle Creek Public Schools,6.8,84.47,3.98,33744,25.32,4693
50,13070,2015-2016,Harper Creek Community Schools,24.9,95.22,0.63,61813,9.47,388
51,13070,2016-2017,Harper Creek Community Schools,33.5,95.96,0.62,61813,10.37,388
52,13070,2017-2018,Harper Creek Community Schools,26.2,95.27,0.0,61813,10.86,388
53,13070,2018-2019,Harper Creek Community Schools,33.6,95.15,0.0,61813,10.53,388
54,13070,2020-2021,Harper Creek Community Schools,23.1,92.23,0.0,61813,15.15,388
55,13110,2015-2016,Marshall Public Schools,38.5,95.13,1.84,47015,8.16,1673
56,13110,2016-2017,Marshall Public Schools,19.9,94.38,3.17,47015,12.31,1673
57,13110,2017-2018,Marshall Public Schools,33.3,94.17,1.69,47015,14.03,1673
58,13110,2018-2019,Marshall Public Schools,32.9,93.92,0.89,47015,14.7,1673
59,13110,2020-2021,Marshall Public Schools,28.8,83.55,1.19,47015,16.94,1673
60,13135,2015-2016,Union City Community Schools,33.3,94.84,1.56,49107,10.22,453
61,13135,2016-2017,Union City Community Schools,26.7,94.83,1.54,49107,8.65,453
62,13135,2017-2018,Union City Community Schools,31.6,94.28,0.0,49107,5.95,453
63,13135,2018-2019,Union City Community Schools,28.6,94.25,0.0,49107,9.23,453
64,13135,2020-2021,Union City Community Schools,49.4,96.24,2.74,49107,19.53,453
65,14030,2015-2016,Edwardsburg Public Schools,39.4,96.38,2.07,65362,34.83,469
66,14030,2016-2017,Edwardsburg Public Schools,41.3,95.75,0.0,65362,33.29,469
67,14030,2017-2018,Edwardsburg Public Schools,36.4,95.08,0.0,65362,31.32,469
68,14030,2018-2019,Edwardsburg Public Schools,51.1,95.04,0.0,65362,30.85,469
69,14030,2020-2021,Edwardsburg Public Schools,40.3,94.06,0.0,65362,30.01,469
70,15020,2015-2016,Boyne City Public Schools,60.2,97.35,1.06,58847,14.94,234
71,15020,2016-2017,Boyne City Public Schools,57.9,97.15,1.0,58847,18.92,234
72,15020,2017-2018,Boyne City Public Schools,41.6,94.88,2.63,58847,18.5,234
73,15020,2018-2019,Boyne City Public Schools,56.7,94.53,2.8,58847,26.15,234
74,15020,2020-2021,Boyne City Public Schools,40.2,95.36,0.87,58847,33.96,234
75,15050,2015-2016,Charlevoix Public Schools,43.9,97.49,0.0,49167,15.54,259
76,15050,2016-2017,Charlevoix Public Schools,55.6,96.38,0.0,49167,12.96,259
77,15050,2017-2018,Charlevoix Public Schools,50.0,94.32,0.0,49167,11.41,259
78,15050,2018-2019,Charlevoix Public Schools,45.5,94.70,0.0,49167,17.67,259
79,15050,2020-2021,Charlevoix Public Schools,52.0,95.28,0.0,49167,53.1,259
80,15060,2015-2016,East Jordan Public Schools,28.2,99.00,4.17,50580,5.83,425
81,15060,2016-2017,East Jordan Public Schools,16.9,97.67,0.0,50580,7.22,425
82,15060,2017-2018,East Jordan Public Schools,23.9,96.26,0.0,50580,9.03,425
83,15060,2018-2019,East Jordan Public Schools,43.1,94.46,3.92,50580,12.23,425
84,15060,2020-2021,East Jordan Public Schools,45.1,94.29,0.0,50580,19.82,425
85,17010,2015-2016,Sault Ste. Marie Area Schools,25.9,94.93,0.65,42312,11.51,1370
86,17010,2016-2017,Sault Ste. Marie Area Schools,28.7,94.41,10.0,42312,14.17,1370
87,17010,2017-2018,Sault Ste. Marie Area Schools,34.6,92.72,1.87,42312,17.97,1370
88,17010,2018-2019,Sault Ste. Marie Area Schools,43.2,93.05,0.87,42312,21.21,1370
89,17010,2020-2021,Sault Ste. Marie Area Schools,44.4,91.20,0.0,42312,27.94,1370
90,18010,2015-2016,Clare Public Schools,21.9,95.00,1.15,50750,11.99,296
91,18010,2016-2017,Clare Public Schools,37.6,94.39,2.2,50750,17.7,296
92,18010,2017-2018,Clare Public Schools,34.7,93.59,1.09,50750,22.03,296
93,18010,2018-2019,Clare Public Schools,45.6,95.02,4.08,50750,26.89,296
94,18010,2020-2021,Clare Public Schools,39.3,94.10,0.0,50750,33.8,296
95,18060,2015-2016,Harrison Community Schools,23.9,94.45,0.0,32328,13.27,1291
