SchoolDistrict,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
L'Anse Area Schools,4671,3926,61,357,8,0,22,41692,282,195,307,1216,382,128,47.9,47.9,48.0,269,1200
Superior Central Schools,2107,2010,5,63,0,0,1,53750,55,120,150,619,181,55,54.4,57.4,50.4,74,564
Adams Township School District,2835,2725,0,0,34,0,0,47667,160,173,154,532,205,102,33.0,32.6,33.9,228,600
Addison Community Schools,7622,7443,30,11,24,0,0,57719,209,336,434,1753,1122,317,50.8,49.6,51.7,199,2322
Adrian City School District,29587,26579,1195,113,76,0,749,46462,1592,1262,1496,6077,2744,1024,36.7,34.4,40.2,2141,6802
Airport Community School District,19736,18426,661,125,104,0,173,63069,991,855,1197,4545,1304,599,41.7,39.4,42.9,983,5340
Akron-Fairgrove Schools,3013,2834,32,39,5,0,16,45891,131,162,211,742,213,43,40.3,39.6,41.5,237,821
Alba Public Schools,1230,1203,5,0,7,0,0,48370,30,62,66,410,85,36,47.5,50.1,47.1,40,387
Alcona Community Schools,6789,6576,25,34,19,8,21,40594,192,234,218,1819,606,275,58.1,56.2,58.9,354,2007
Algonac Community School District,14946,14560,7,60,143,12,83,59440,683,583,497,3376,1222,710,50.0,49.1,51.4,589,4247
North Huron School District,4375,4298,0,8,3,0,4,45275,208,143,195,1306,324,151,55.3,54.6,56.0,192,1287
North Adams-Jerome Schools,3275,3183,0,12,22,0,14,42374,93,183,208,817,174,55,44.8,46.9,44.1,156,960
Martin Public Schools,4625,4529,28,0,0,0,11,58938,254,201,256,1151,414,147,41.9,41.7,43.2,154,1280
Marysville Public Schools,14525,13851,65,39,95,0,92,64603,616,647,821,2925,1543,542,43.9,44.4,43.6,667,4089
Mason Public Schools,20195,18839,553,15,300,0,104,68267,1046,1125,1135,3179,2865,1192,40.0,39.1,40.5,475,5447
Mason Consolidated Schools,7375,7053,121,24,18,3,16,59183,286,612,313,1780,466,299,44.9,45.9,42.2,323,2103
Mason County Central Schools,7932,7505,123,64,66,0,2,50690,344,357,417,1724,680,259,44.7,43.8,45.7,626,2172
Mattawan Consolidated School,19031,17666,209,16,372,0,183,91449,981,1505,1207,2154,3219,1367,41.0,39.4,41.7,427,5550
Mayville Community School District,6538,6346,76,12,11,0,35,48649,305,381,368,1871,351,161,43.3,43.0,43.9,588,1863
McBain Rural Agricultural Schools,5720,5625,8,3,1,0,63,50777,357,367,301,1397,395,106,37.1,35.2,40.3,340,1523
Melvindale-North Allen Park School District,16847,12664,1801,52,419,0,884,48484,888,1022,986,3302,1042,439,34.9,33.4,35.7,1420,4038
