ISD,District,Cell_Phone_Ban_(1yes0no)
Allegan Area ESA,Allegan Public Schools,0
Allegan Area ESA,Fennville Public Schools,0
Allegan Area ESA,Glenn Public School,0
Allegan Area ESA,Hopkins Public Schools,1
Allegan Area ESA,Martin Public Schools,0
Allegan Area ESA,Otsego Public Schools,0
Allegan Area ESA,Plainwell Community Schools,0
Allegan Area ESA,Wayland Union Schools,0
Alpena-Montmorency-Alcona ESD ,Alpena Public Schools,0
Barry ISD,Delton Kellogg Schools,0
Barry ISD,Hastings Public Schools,0
Bay-Arenac ISD,ARENAC EASTERN SCHOOL DISTRICT,0
Bay-Arenac ISD,AU GRES-SIMS SCHOOL DISTRICT,0
Bay-Arenac ISD,BANGOR TOWNSHIP SCHOOLS,0
Bay-Arenac ISD,BAY CITY PUBLIC SCHOOLS,0
Bay-Arenac ISD,ESSEXVILLE-HAMPTON PUBLIC SCHOOLS,0
Bay-Arenac ISD,PINCONNING AREA SCHOOLS,0
Bay-Arenac ISD,STANDISH-STERLING COMMUNITY SCHOOLS,0
Berrien RESA,Berrien RESA,0
Berrien RESA,Benton Harbor Area Schools,0
Berrien RESA,Berrien Springs Public Schools,0
Berrien RESA,Brandywine Community Schools,0
Berrien RESA,Bridgman Public Schools,0
Berrien RESA,Buchanan Community Schools,0
Berrien RESA,Coloma Community Schools,0
Berrien RESA,Eau Claire Public Schools,0
Berrien RESA,Lakeshore Public Schools,0
Berrien RESA,New Buffalo Area Schools,0
Berrien RESA,Niles Community Schools,0
Berrien RESA,"River School, Sodus Township #5",0
Berrien RESA,River Valley School District,0
Berrien RESA,"Riverside School, Hagar Township #6",0
Berrien RESA,St. Joseph Public Schools,0
Berrien RESA,Watervliet Public Schools,0
Branch ISD,Bronson Community Schools,0
Branch ISD,Coldwater Community Schools,0
Branch ISD,Quincy Community Schools,0
Calhoun ISD,Athens Area Schools,0
Calhoun ISD,Battle Creek Public Schools,0
Calhoun ISD,Bellevue Community Schools,0
Calhoun ISD,Harper Creek Community Schools,0
Calhoun ISD,Homer Community Schools,0
Calhoun ISD,Lakeview School District,0
Calhoun ISD,Mar Lee School,0
Calhoun ISD,Marshall Public Schools,0
Calhoun ISD,Olivet Community Schools,0
Calhoun ISD,Pennfield Schools,0
Calhoun ISD,Tekonsha Community Schools,0
Calhoun ISD,Union City Community Schools,0
Charlevoix-Emmet ISD,Boyne City Public Schools,0
Charlevoix-Emmet ISD,Boyne Falls Public School,0
Charlevoix-Emmet ISD,Central Lake Public Schools,0
Charlevoix-Emmet ISD,Charlevoix Public Schools,0
Charlevoix-Emmet ISD,East Jordan Public Schools,0
Charlevoix-Emmet ISD,Ellsworth Community School,0
Charlevoix-Emmet ISD,Harbor Springs Public Schools,0
Charlevoix-Emmet ISD,Pellston Public Schools,0
Charlevoix-Emmet ISD,Public Schools of Petoskey,0
Cheboygan-Otsego-Presque Isle ESD,Cheboygan Area Schools,0
Cheboygan-Otsego-Presque Isle ESD,Gaylord Community Schools,0
Cheboygan-Otsego-Presque Isle ESD,Inland Lakes Schools,0
Cheboygan-Otsego-Presque Isle ESD,Johannesburg-Lewiston Area Schools,0
Cheboygan-Otsego-Presque Isle ESD,Mackinaw City Public Schools,0
Cheboygan-Otsego-Presque Isle ESD,Onaway Area Community Schools,1
Cheboygan-Otsego-Presque Isle ESD,Posen Consolidated School District #9,0
Cheboygan-Otsego-Presque Isle ESD,Rogers City Area Schools,0
Cheboygan-Otsego-Presque Isle ESD,Vanderbilt Area School District,0
Cheboygan-Otsego-Presque Isle ESD,Wolverine Community School District,0
Clare-Gladwin RESD,Beaverton Schools,0
Clare-Gladwin RESD,Clare Public Schools,0
Clare-Gladwin RESD,Farwell Area Schools,0
Clare-Gladwin RESD,Gladwin Community Schools,0
Clare-Gladwin RESD,Harrison Community Schools,0
Clinton County RESA,Bath Community Schools,0
Clinton County RESA,DeWitt Public Schools,0
Clinton County RESA,Fowler Public Schools,0
Clinton County RESA,Ovid-Elsie Area Schools,0
Clinton County RESA,Pewamo-Westphalia Community Schools,0
Clinton County RESA,St. Johns Public Schools,0
COOR ISD, Crawford-AuSable Schools,0
COOR ISD,Mio AuSable Schools,0
COOR ISD,Fairview Area Schools,0
COOR ISD,Houghton Lake Community Schools,0
COOR ISD,Roscommon Area Public Schools,0
COOR ISD,West Branch-Rose City Schools,0
Copper Country ISD ,Adams Township School District,0
Copper Country ISD ,Arvon Township School Distric,0
Copper Country ISD ,Baraga Area Schools,0
Copper Country ISD ,Chassell Township Schools,0
Copper Country ISD ,Copper Island Academy,0
Copper Country ISD ,Dollar Bay-Tamarack City Area Schools,0
Copper Country ISD ,Elm River Township Schoo,0
Copper Country ISD ,"lGrant Township Schools, District No. 2",0
Copper Country ISD ,Hancock Public Schools,0
Copper Country ISD ,Houghton-Portage Township School Distric,0
Copper Country ISD ,tLake Linden-Hubbell Public Schools,0
Copper Country ISD ,L’Anse Area Schools,0
Copper Country ISD ,"Public Schools of Calumet, Laurium & Keweenaw",0
Copper Country ISD ,Stanton Township Public Schools,0
Delta-Schoolcraft ISD ,Bark River Harris,0
Delta-Schoolcraft ISD ,Big Bay de Noc,0
Delta-Schoolcraft ISD ,Escanaba,0
Delta-Schoolcraft ISD ,Gladstone,0
Delta-Schoolcraft ISD ,Manistique,0
Delta-Schoolcraft ISD ,Mid Peninsula,0
Delta-Schoolcraft ISD ,Nah Tah Wahsh PSA,0
Delta-Schoolcraft ISD ,Rapid River,0
